file_path,avg_HH_dist,avg_OO_dist,avg_OH_dist,avg_HO_dist,count_HH,count_OO,count_OH,count_HO,sum_of_count
d:\New folder\project\data\r20\t2.4\t2.4_320.cif,2.449477286165889,3.0,2.761004247395989,3.0,2,0,2,0,4
d:\New folder\project\data\r20\t2.4\t2.4_340.cif,2.0117553915954547,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t2.4\t2.4_40.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t2.4\t2.4_60.cif,2.2415734004443637,3.0,2.7571727058706115,2.778242438806733,2,0,2,2,6
d:\New folder\project\data\r20\t2.4\t2.4_80.cif,3.0,3.0,2.5118633658800116,3.0,0,0,2,0,2
d:\New folder\project\data\r20\t3.6\t3.6_0.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t3.6\t3.6_100.cif,2.385798458426922,3.0,2.317180408949286,3.0,2,0,2,0,4
d:\New folder\project\data\r20\t3.6\t3.6_120.cif,2.0996933824427835,3.0,2.5964029199533463,3.0,2,0,2,0,4
d:\New folder\project\data\r20\t3.6\t3.6_140.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t3.6\t3.6_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
