file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_280_grid1.cif,2.418318917842744,3.0,2.303350885634262,3.0,8,0,4,0,12,1.7718275709780305,2.887516854088049,2.0308037295834502,2.567410762702402,2,2,2,2,8,1.7718275709780298,2.6725609361140177,2.030803729583453,3.0,2,2,2,0,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_280_grid4.cif,2.19079818079115,3.0769369766674766,2.508199297373386,1.7499112071615297,9,2,4,2,17,2.283672558329366,2.9395757954539325,1.7915585372792004,2.2294487965382856,12,7,9,10,38,2.403107145903494,2.9661467915872075,2.280409083052331,2.3708842661061085,1,7,7,11,26
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_280_grid5.cif,2.2994785194944063,3.0,2.0455041130585525,2.78341110513478,4,0,12,2,18,2.430207346832349,2.9836067067020897,2.613938397766928,2.0581875326550887,2,4,3,6,15,2.4367294700777,2.6989577553474677,2.2463910252934616,2.048754799026543,8,10,10,18,46
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_320_grid0.cif,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.3815044107864325,2.8798256061267313,2.185065348460443,2.356329226515238,11,10,8,18,47,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_320_grid4.cif,2.246817222794677,2.6934272687372847,1.9589247982173887,2.0796837445067244,3,4,14,1,22,2.452714440924032,2.9836067067020897,2.317285027442718,2.6225629231971577,2,4,8,2,16,2.353868881791508,2.822238653998268,2.165559297124917,2.2632881819077415,4,5,10,14,33
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_320_grid5.cif,2.3602718645493987,2.8026677251351355,2.1906138736904692,2.1778003254786684,12,10,8,18,48,2.41545876038215,2.9836067067020897,2.613938397766928,1.882076728214764,6,4,3,12,25,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_340_grid2.cif,2.2280275645947523,3.0,2.2348164858238926,3.0,6,0,10,0,16,2.430207346832349,2.9836067067020897,2.613938397766928,2.0581875326550887,2,4,3,6,15,2.4367294700777,2.6989577553474677,2.2463910252934616,2.048754799026543,8,10,10,18,46
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_340_grid4.cif,2.2703952811196486,2.845729108032253,1.948314418092748,2.1926603806446523,10,14,13,22,59,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_340_grid5.cif,2.2256396537885514,2.971381010365718,2.0568178970643713,2.2820896501996573,6,8,6,12,32,2.336657841129604,2.4906202050513637,2.4550606134346813,2.3239944343200043,6,6,6,9,27,2.2934250345496037,2.7467291474134505,2.0581591611709507,2.196235004246295,9,6,4,18,37
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_80_grid1.cif,2.124503357077305,2.756817174054081,2.0544311304134437,2.200269736567251,12,12,15,21,60,2.1620467765815494,3.1331460306275805,2.4177274435778564,2.7687474612346925,2,2,2,3,9,2.2656889359830332,2.673899192470329,2.0177170183463127,2.0714640644088655,8,2,10,5,25
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_80_grid2.cif,2.2663001447222384,3.0,2.117605033419492,3.0,6,0,14,0,20,2.4354983129326624,2.9867322385303527,2.6730177644819353,1.8339830024746417,1,3,4,4,12,2.379861242258805,2.8465741002414333,2.109128338729312,2.0661748765131245,8,6,9,4,27
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_80_grid5.cif,2.187873522645679,2.8734257051045415,1.9603602044160768,1.9608366256619423,11,10,12,21,54,2.1535728815977775,3.1331460306275805,2.3853598385799932,2.076947572793304,4,2,5,5,16,2.332513888105478,2.850548146818946,2.2148260844086556,2.5233798743697897,8,8,9,15,40
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_100_grid1.cif,2.2097014597103986,2.781477093147589,1.8493373818897685,1.907612669596193,6,14,16,21,57,2.1620467765815494,3.1331460306275805,2.4177274435778564,2.7687474612346925,2,2,2,3,9,2.2656889359830332,2.673899192470329,2.0177170183463127,2.0714640644088655,8,2,10,5,25
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_100_grid2.cif,2.2654818775968883,3.0,2.040835090966823,3.0,6,0,12,0,18,2.4354983129326624,2.9867322385303527,2.6730177644819353,1.8339830024746417,1,3,4,4,12,2.379861242258805,2.8465741002414333,2.109128338729312,2.0661748765131245,8,6,9,4,27
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_200_grid0.cif,2.284653923340934,2.7785792640645752,1.9031949175077487,2.086878599165139,4,6,12,3,25,2.3873748975866036,2.951181594167829,2.3044743844355056,2.139743698058149,3,5,7,3,18,2.3787538807027815,2.7533924565647725,2.232828549641192,2.2390286029562843,6,8,10,7,31
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_200_grid5.cif,2.2243050529024444,2.9516044665948447,2.0196560346556875,2.264528959566584,6,4,2,14,26,2.356269838347829,2.5342425222693947,2.319417537198926,2.4380674763823564,4,5,8,6,23,2.2205299464287602,2.9111796093837947,2.041836432794998,2.2382273528399614,6,4,2,14,26
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_220_grid0.cif,2.3091534875255766,2.845058923309419,1.9270884542018831,1.8587742020150206,4,9,10,10,33,2.3379811317949186,2.855712906609086,2.182192620748862,2.244301545127089,4,5,5,9,23,2.401142737022112,2.7812716471107137,1.844656847947391,2.333190536146789,8,9,9,7,33
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_260_grid5.cif,2.3202699337022588,2.9516044665948447,2.0196560346556875,2.330362242344431,6,4,2,10,22,2.234799706136206,2.6266228985915787,2.1694521021005944,2.3033801572143306,2,6,6,7,21,2.2372051892166964,2.9111796093837947,2.041836432794998,2.2990862325627868,7,4,2,10,23
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_340_grid1.cif,2.3227522624065426,2.8494409264714315,1.9966111220841254,2.2865633522677493,9,15,16,19,59,2.1620467765815494,3.1331460306275805,2.4177274435778564,2.7687474612346925,2,2,2,3,9,2.2656889359830332,2.673899192470329,2.0177170183463127,2.0714640644088655,8,2,10,5,25
D:\New folder\project\results\4_layer\lower\r80\t3.6\t3.6_340_grid5.cif,2.10224020446371,2.877740268610162,2.1154540708396223,2.230088599069156,4,8,7,12,31,2.3416839365524473,2.5001564987989155,2.3382236091407207,2.455923159999348,6,3,8,7,24,2.3798305436049403,2.9347385267737884,1.9086809546960377,2.042113645634573,6,9,7,14,36
