file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count,Int4_avg_HH_dist,Int4_avg_OO_dist,Int4_avg_OH_dist,Int4_avg_HO_dist,Int4_count_HH,Int4_count_OO,Int4_count_OH,Int4_count_HO,Int4_sum_of_count
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_200_grid1.cif,2.246817222794673,2.6934272687372856,1.958924798217387,2.0753791400039905,3,4,14,7,28,1.7718275709780378,2.98360670670209,3.0,2.0685099007281513,2,4,0,8,14,2.083307319204841,2.879924783172734,2.4300995495272675,2.2803578357108867,2,6,6,10,24,2.3538688817915068,2.7421690071575124,2.0209767685062463,2.2368959026957205,4,9,16,6,35
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_200_grid2.cif,2.2245343230623282,2.70219794503547,2.1053905860015085,2.1990845463964024,8,14,15,11,48,2.262542385320453,2.88751685408805,2.082007395224119,2.6207781448625154,2,2,2,4,10,2.083307319204841,2.6725609361140292,3.0,2.557553559911191,2,2,0,2,6,2.356980476893782,2.737259020374292,2.363530738301927,1.9989913044885488,8,12,12,14,46
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_200_grid5.cif,2.3670488814982136,2.9451755238274258,2.3170232690215817,2.5474677919939124,4,8,8,8,28,2.37435501086811,2.696199411640545,2.1559898343281985,2.0691268102350713,5,11,14,6,36,2.411725193981801,2.879924783172734,2.4300995495272675,2.063237607995946,2,6,6,12,26,2.3725995906122646,2.7421690071575124,1.9390057961602014,2.2368959026957205,6,9,14,6,35
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_220_grid0.cif,2.2256396537885546,2.7160390271121453,2.046957492880191,2.2569736720472204,6,6,4,14,30,2.2907434810926275,2.4906202050513584,2.2505590597862484,2.3945561094987444,6,6,6,7,25,2.187210573007072,2.7089972990692193,2.3780682650555374,2.2682634091933167,7,8,4,15,34,2.3569804768937845,2.4906202050513637,2.4618792300072387,2.4194742262147653,4,6,8,8,26
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_220_grid1.cif,2.351544843774605,2.604574005015305,2.2214267551549227,2.034607653642085,8,4,10,12,34,2.1743019262185,2.833636133141066,2.1440938622591164,2.27869983004447,10,11,14,14,49,2.3994463221315265,2.9495758879238214,2.333427704215398,2.013635885388724,3,6,6,5,20,2.3530367889275032,2.9910714964055933,1.992205989483314,3.0,4,3,8,0,15
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_220_grid3.cif,2.2813443123154693,2.7485989448791446,2.2944854109363373,2.3104630267257487,12,13,10,24,59,2.121691474327002,2.98360670670209,3.0,2.0760495507651355,4,4,0,12,20,2.4055910019834537,2.9275568449347102,2.2564360910388075,2.1548756740082746,9,6,16,10,41,2.2784170883293977,2.639720887178144,2.306441409791387,2.3363880997804074,12,7,5,15,39
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_220_grid5.cif,2.267559174688575,2.945175523827423,2.353373412716549,2.458777490876442,9,8,12,10,39,2.374355010868108,2.696199411640552,2.1559898343282033,2.0691268102350664,5,11,14,6,36,2.411725193981801,2.879924783172734,2.4300995495272675,2.063237607995946,2,6,6,12,26,2.3725995906122646,2.7421690071575124,1.9390057961602014,2.2368959026957205,6,9,14,6,35
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_220_grid6.cif,2.2488230413332992,2.949954203838311,2.236794153662654,2.285194330361213,8,6,10,18,42,2.430207346832345,3.0324271745411866,2.609679474192102,2.0664246192876408,2,6,4,12,24,2.411725193981801,2.879924783172734,2.4300995495272675,2.063237607995946,2,6,6,12,26,2.3725995906122646,2.7421690071575124,1.9390057961602014,2.2368959026957205,6,9,14,6,35
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_260_grid0.cif,2.2680613750605856,2.7959477709981337,2.177550006588237,2.377032687295493,8,8,15,4,35,2.297365182859125,2.8026677251351364,2.1906138736904643,2.2306001384045646,12,10,8,19,49,2.415458760382146,2.98360670670209,2.6139383977669306,1.8820767282147617,6,4,3,12,25,2.083307319204841,2.6725609361140292,3.0,2.557553559911191,2,2,0,2,6
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_260_grid1.cif,2.264401076352661,3.059583502286806,2.0188128467047117,2.665668538524763,10,4,14,3,31,2.262542385320453,2.88751685408805,2.082007395224119,2.6207781448625154,2,2,2,4,10,2.411725193981801,2.879924783172734,2.4300995495272675,2.063237607995946,2,6,6,12,26,2.3725995906122646,2.7421690071575124,1.9390057961602014,2.2368959026957205,6,9,14,6,35
