file_id,file_path,adjusted_energy,geometric_center_distance,X,Y,Z
r80_t6.0_t6.0_100.cif,d:\New folder\project\data\r80\t6.0\t6.0_100.cif,-0.4892699999999195,5.309215856837575,0.2212226677224328,-0.5625630242780226,5.274690170000176
r80_t6.0_t6.0_80.cif,d:\New folder\project\data\r80\t6.0\t6.0_80.cif,-0.4796799999999166,5.364060680197618,0.1702766271499012,-0.9637028820751098,5.274033523421017
r80_t8.4_t8.4_240.cif,d:\New folder\project\data\r80\t8.4\t8.4_240.cif,-0.0194999999999936,5.756812342376767,-0.4915953910498135,-0.7331737149600208,5.688732602305349
r80_t9.6_t9.6_240.cif,d:\New folder\project\data\r80\t9.6\t9.6_240.cif,-0.0823500000000194,5.9186727284234895,0.7681513469023994,-0.3726329888424988,5.85677172425751
r100_t0_t0_200.cif,d:\New folder\project\data\r100\t0\t0_200.cif,-0.4758199999999988,6.362692703432893,1.6428599808916302,-0.9134734619336498,6.0786870092023895
r100_t0_t0_220.cif,d:\New folder\project\data\r100\t0\t0_220.cif,-0.2175899999999728,5.912648214703938,0.6840841041682094,-1.1397860249274443,5.761278127867647
r100_t0_t0_240.cif,d:\New folder\project\data\r100\t0\t0_240.cif,-0.303199999999947,5.570744760697794,0.4791763851604899,-0.744538971400232,5.499931717831843
r100_t1.2_t1.2_200.cif,d:\New folder\project\data\r100\t1.2\t1.2_200.cif,-0.3410399999999072,6.529369279138762,0.4391258653188551,-0.986422866103852,6.439472151271132
r100_t1.2_t1.2_220.cif,d:\New folder\project\data\r100\t1.2\t1.2_220.cif,-0.5496499999999287,6.1099919606739,0.5493014080390448,-0.8107515119054676,6.03099922969395
r100_t1.2_t1.2_240.cif,d:\New folder\project\data\r100\t1.2\t1.2_240.cif,-0.5346299999999928,5.809805418022249,0.3057510807647553,-0.5666947755719177,5.77401180317735
r100_t2.4_t2.4_180.cif,d:\New folder\project\data\r100\t2.4\t2.4_180.cif,-0.2080899999999701,6.857300913999428,0.0159697605705721,-1.4909981547616356,6.693223834176032
r100_t2.4_t2.4_220.cif,d:\New folder\project\data\r100\t2.4\t2.4_220.cif,-0.6094799999999623,6.061973036225817,-0.0997402324419303,-0.8276695527975308,6.0043760782726805
r100_t2.4_t2.4_60.cif,d:\New folder\project\data\r100\t2.4\t2.4_60.cif,-0.4490899999999556,5.518775767761709,1.3463265719381174,-1.5076612240266325,5.135294380081215
r100_t2.4_t2.4_80.cif,d:\New folder\project\data\r100\t2.4\t2.4_80.cif,-0.4767999999999119,5.4987937570082055,1.334127148245913,-1.1724184743643429,5.204063071811758
r100_t3.6_t3.6_200.cif,d:\New folder\project\data\r100\t3.6\t3.6_200.cif,-0.1123400000000174,7.063184134727145,-1.100899382459433,-1.3365517894711447,6.8476433891393
r100_t3.6_t3.6_220.cif,d:\New folder\project\data\r100\t3.6\t3.6_220.cif,-0.3566399999999703,6.378084851344664,-0.7031578207373168,-0.9711824196228536,6.264370691290845
r100_t3.6_t3.6_80.cif,d:\New folder\project\data\r100\t3.6\t3.6_80.cif,-0.563419999999951,5.362614965186169,-0.3441964727308435,-1.2708750760623484,5.19846559996715
r100_t4.8_t4.8_80.cif,d:\New folder\project\data\r100\t4.8\t4.8_80.cif,-0.5498999999999796,5.424058206628409,0.3606535063295448,-1.2176028920229052,5.273308228674165
r100_t6.0_t6.0_100.cif,d:\New folder\project\data\r100\t6.0\t6.0_100.cif,-0.4259299999999939,5.427033488782495,0.3600754686365569,-0.7280393773826799,5.365910622646738
r100_t6.0_t6.0_80.cif,d:\New folder\project\data\r100\t6.0\t6.0_80.cif,-0.4788300000000163,5.335613852426063,0.3217137858722438,-1.180075120300953,5.19352463483397
r100_t8.4_t8.4_240.cif,d:\New folder\project\data\r100\t8.4\t8.4_240.cif,-0.3011099999999942,5.453177864314516,-0.1685749013851224,-0.7213130706661053,5.402632578341698
r100_t9.6_t9.6_220.cif,d:\New folder\project\data\r100\t9.6\t9.6_220.cif,-0.4899799999999459,6.269912222192924,1.868648907149056,-0.9164432665599688,5.914396188537909
r100_t9.6_t9.6_240.cif,d:\New folder\project\data\r100\t9.6\t9.6_240.cif,-0.2565999999999349,5.734334173229718,0.7067533149295646,-0.7151435315143932,5.645498905450195
r160_t0_t0_300.cif,d:\New folder\project\data\r160\t0\t0_300.cif,-0.0509299999999939,6.5386792267495375,0.8031215217739683,-0.6609217248786642,6.455424410925498
r160_t0_t0_320.cif,d:\New folder\project\data\r160\t0\t0_320.cif,-0.2132100000000036,6.554835927128219,1.427512193150398,-0.2378848172201719,6.393081712579148
r160_t1.2_t1.2_300.cif,d:\New folder\project\data\r160\t1.2\t1.2_300.cif,-0.2994099999999662,6.235594448529011,-0.1026468315988066,-0.5536851677096237,6.210115497279171
r160_t1.2_t1.2_320.cif,d:\New folder\project\data\r160\t1.2\t1.2_320.cif,-0.2972699999999122,6.401895691879397,0.1783883588021114,-0.2103330258891788,6.3959523185658735
r160_t3.6_t3.6_160.cif,d:\New folder\project\data\r160\t3.6\t3.6_160.cif,-0.0913999999999077,7.615806351389073,-0.6879538209637356,-1.221661379488609,7.4856375410478915
r160_t9.6_t9.6_300.cif,d:\New folder\project\data\r160\t9.6\t9.6_300.cif,-0.1723299999999881,6.471851956855971,1.2235163860643703,-0.6166366341750414,6.325158864873334
r160_t9.6_t9.6_320.cif,d:\New folder\project\data\r160\t9.6\t9.6_320.cif,-0.2024299999999357,6.594839206120053,1.3985715125883331,-0.3254520520910396,6.436612683744788
r180_t0_t0_300.cif,d:\New folder\project\data\r180\t0\t0_300.cif,-0.2296599999999671,6.371480923222922,1.656513337001876,-0.6643621423006061,6.116400547969882
r180_t0_t0_320.cif,d:\New folder\project\data\r180\t0\t0_320.cif,-0.244609999999966,6.602514720447425,1.416121565356883,-0.5626758007003564,6.424266206280864
r180_t0_t0_340.cif,d:\New folder\project\data\r180\t0\t0_340.cif,-0.2455699999999296,6.762283425504609,1.739159737271649,-0.2450221077454528,6.530219345613403
r180_t1.2_t1.2_280.cif,d:\New folder\project\data\r180\t1.2\t1.2_280.cif,-0.1605200000000195,6.076161047859453,0.0021469954804815,-0.7476447884396027,6.029988038151816
r180_t1.2_t1.2_300.cif,d:\New folder\project\data\r180\t1.2\t1.2_300.cif,-0.4098199999999679,6.069834491252962,0.2617181683653639,-0.6559629509100702,6.0286073813597225
r180_t1.2_t1.2_320.cif,d:\New folder\project\data\r180\t1.2\t1.2_320.cif,-0.3309600000000046,6.4882161582846685,0.2369147185040218,-0.5668929804477668,6.459059736641353
r180_t1.2_t1.2_340.cif,d:\New folder\project\data\r180\t1.2\t1.2_340.cif,-0.2923099999999294,6.528572389867454,0.3967050765122558,-0.349871400625597,6.50710938397637
r180_t2.4_t2.4_280.cif,d:\New folder\project\data\r180\t2.4\t2.4_280.cif,-0.1073199999999587,6.224347617302893,-0.581637982228616,-0.6847757932431314,6.159162494336504
r180_t2.4_t2.4_300.cif,d:\New folder\project\data\r180\t2.4\t2.4_300.cif,-0.3088599999999815,6.152291369768773,-0.3871557233654659,-0.6111568655785473,6.109606110875961
