Relative_Path,Axis,COM_Before_X,COM_Before_Y,COM_Before_Z,Shift_X,Shift_Y,Shift_Z,COM_After_X,COM_After_Y,COM_After_Z
r0\t8.4\t8.4_320.cif,1,9.576863035635828,5.0039655001095,8.513604074125489,0.0,-5.0039655001095,0.0,9.935723554057127,9.008223342915613,8.513604074125489
r0\t8.4\t8.4_80.cif,1,8.900265381680397,5.041916035463784,8.60338547154973,0.0,-5.041916035463784,0.0,9.272352008927633,9.85930677148552,8.60338547154973
r0\t9.6\t9.6_0.cif,1,9.444146465552011,4.874175420775259,8.790289064762199,0.0,-4.874175420775259,0.0,9.910118785696405,9.96419558365209,8.790289064762199
r0\t9.6\t9.6_140.cif,1,9.67063174783567,5.0428132685621385,8.675754783029216,0.0,-5.0428132685621385,0.0,10.4197059321287,10.033500837971895,8.675754783029216
r0\t9.6\t9.6_100.cif,1,8.874043738314013,4.745986693304732,8.282761637303901,0.0,-4.745986693304732,0.0,9.18625341837107,7.999510525894364,8.282761637303901
r0\t9.6\t9.6_180.cif,1,9.530597714952663,4.87020884031425,9.500293587573202,0.0,-4.87020884031425,0.0,9.9724239255676,9.714886066396247,9.500293587573202
r0\t9.6\t9.6_120.cif,1,9.371537792600344,4.958777235610427,8.397240734523702,0.0,-4.958777235610427,0.0,9.90612108502574,8.73727592270503,8.397240734523702
r0\t9.6\t9.6_160.cif,1,9.63208170140355,4.848482277761257,9.193756489692657,0.0,-4.848482277761257,0.0,10.149794188366169,8.706161990975337,9.193756489692657
r0\t9.6\t9.6_20.cif,1,9.498700576970904,4.954688157704354,9.162725397643118,0.0,-4.954688157704354,0.0,9.96395350431326,10.301632482166463,9.162725397643118
r0\t9.6\t9.6_200.cif,1,9.903765452760645,4.842345647306128,9.530665609641252,0.0,-4.842345647306128,0.0,10.114052871327416,9.652358965772216,9.530665609641252
r0\t9.6\t9.6_220.cif,1,9.828667663395398,4.772880742371766,9.119022314196796,0.0,-4.772880742371766,0.0,9.831028775031712,7.9907948820044705,9.119022314196796
r0\t9.6\t9.6_240.cif,1,10.579854935188893,5.294083884388583,8.371819544055283,0.0,-5.294083884388583,0.0,10.702632229728877,9.919704906557453,8.371819544055283
r0\t9.6\t9.6_300.cif,1,9.196395496624831,4.9068604195518475,8.515297732368513,0.0,-4.9068604195518475,0.0,9.541392866397707,7.844165884265873,8.515297732368513
r0\t9.6\t9.6_260.cif,1,9.576330885781964,4.960723592181389,8.522476755464144,0.0,-4.960723592181389,0.0,9.87381319514864,7.838540081082277,8.522476755464144
r0\t9.6\t9.6_280.cif,1,9.376643266082919,5.036322033882585,8.516108275585283,0.0,-5.036322033882585,0.0,9.81359103634887,9.079816762703242,8.516108275585283
r0\t9.6\t9.6_320.cif,1,9.34931162755887,4.969025609064862,8.523486696280676,0.0,-4.969025609064862,0.0,9.765628213473107,8.558795353207163,8.523486696280676
r0\t9.6\t9.6_340.cif,1,9.245789004898219,4.944147464631611,8.70904970072165,0.0,-4.944147464631611,0.0,9.791644254774953,9.832615514706834,8.70904970072165
r0\t9.6\t9.6_40.cif,1,9.318238033149385,4.879100063714746,9.321367817006008,0.0,-4.879100063714746,0.0,9.6911318761213,9.702339420027643,9.321367817006008
